nombre,id_candidato,fecha,partido,id_partido,activo,observacion,foto,video,nota,epigrafe
PEÑA CLAROS CLAUDIA STACY,51,2013,MINISTERIO DE AUTONOMÍAS,18,1,,,,,
PEÑA CLAROS CLAUDIA STACY,51,2014,MINISTERIO DE AUTONOMÍAS,18,1,,,,,
PEREZ VALENZUELA JORGE,52,2014,MINISTERIO DE GOBIERNO,2,1,,,,,
PIMENTEL CASTILLO JOSE ANTONIO,53,2010,MINISTERIO DE MINERIA Y METALURGIA,9,1,,,,,
PIMENTEL CASTILLO JOSE ANTONIO,53,2011,MINISTERIO DE MINERIA Y METALURGIA,9,1,,,,,
POLO ANDRADE SONIA,54,2010,MINISTERIO DE SALUD Y DEPORTES,14,1,,,,,
QUINTANA TABORGA JUAN RAMON,55,2006,MINISTERIO DE LA PRESIDENCIA,3,1,,,,,
QUINTANA TABORGA JUAN RAMON,55,2007,MINISTERIO DE LA PRESIDENCIA,3,1,,,,,
QUINTANA TABORGA JUAN RAMON,55,2008,MINISTERIO DE LA PRESIDENCIA,3,1,,,,,
QUINTANA TABORGA JUAN RAMON,55,2009,MINISTERIO DE LA PRESIDENCIA,3,1,,,,,
QUINTANA TABORGA JUAN RAMON,55,2012,MINISTERIO DE LA PRESIDENCIA,3,1,,,,,
QUINTANA TABORGA JUAN RAMON,55,2013,MINISTERIO DE LA PRESIDENCIA,3,1,,,,,
QUINTANA TABORGA JUAN RAMON,55,2014,MINISTERIO DE LA PRESIDENCIA,3,1,,,,,
QUINTANA TABORGA JUAN RAMON,55,2015,MINISTERIO DE LA PRESIDENCIA,3,1,,,,,
QUISPE QUENTA FELIPE,56,2012,MINISTERIO DE MEDIO AMBIENTE Y AGUA,12,1,,,,,
RADA VELEZ ALFREDO OCTAVIO,57,2007,MINISTERIO DE GOBIERNO,2,1,,,,,
RADA VELEZ ALFREDO OCTAVIO,57,2008,MINISTERIO DE GOBIERNO,2,1,,,,,
RADA VELEZ ALFREDO OCTAVIO,57,2009,MINISTERIO DE GOBIERNO,2,1,,,,,
